ID,DOI,Year,Title,Authors,Country,Venue,Input features,Method,dataset,Input features.1,Metrics,Q2,Q3,Q4,Category
51,,2023,Integrating fine-grained attention into multi-task learning for knowledge tracing,Liangliang He; Xiao Li; Pancheng Wang; Jintao Tang; Ting Wang,China,journal,"exercise tags, skill tags, learner responses, and learning actions","Multi-task Attentive Knowledge Tracing (MAKT), Bi-task Attentive Knowledge Tracing (BAKT), Tri-task Attentive Knowledge Tracing (TAKT), imbalance-aware attention mechanism, skill-aware attention mechanism, monotonic attention mechanism, homovariance uncertainty for loss weighing","- Statics2011: 333 learners - ASSISTments2009: 4,151 learners - ASSISTments2017: 1,709 learners","exercise tags, skill tags, learner responses, and learning actions",The evaluation metrics are area under the ROC curve (AUC) and prediction accuracy (ACC).,IAM (imbalance aware attention mechanism) is designed to address the inherent problem of uneven exercise samples by automatically assigning personalized weights to exercises with different prior sample counts,No,No,Forgetting-Aware
52,,2024,Interaction Sequence Temporal Convolutional Based Knowledge Tracing,Zhanxuan Chen; Zhengyang Wu; Qiuying Ye; Yunxuan Lin,China,conference,"Three learning interaction factors: RTI, STI, and RLT, Learning interaction degree vector, Exercise embeddings and knowledge concept embeddings, Student answer records","Graph attention network (GAT), Temporal Convolutional Network, Three learning interaction factors modeling, The fully connected networks","assist09: 3,852 students, 17,737 exercises, 167 knowledge concepts, 282,619 records ASSIST12: 27,485 students, 53,065 exercises, 265 knowledge concepts, 2,709,436 records Algebra05: 574 students, 173,109 exercises, 112 knowledge concepts, 607,013 records","Three learning interaction factors: RTI, STI, and RLT, Learning interaction degree vector, Exercise embeddings and knowledge concept embeddings, Student answer records","AUC, ACC",No,"""From the perspective of the change process of the three heat maps, DKT fluctuates greatly in the process of knowledge state prediction, while DKVMN is relatively small, and the overall fluctuation of ISTCKT is smallest, which indicates that ISTCKT can better simulate the real learning process of students, and the prediction results of the model are more accurate and reliable.""",No,Sequence Modeling
53,,2024,Interpretable Knowledge Tracing with Multiscale State Representation,J. Sun; F. Yu; Q. Wan; Q. Li; S. Liu; X. Shen,China,conference,"question identifiers, their associated concept(s), and the student's response correctness (0 or 1).","Multiscale-state-based Interpretable Knowledge Tracing (MIKT), extended Rasch representation method, Item Response Theory (IRT) model, Adam optimization algorithm",",160 students from ASSIST09, and randomly selected 5,000 students each from ASSIST12, EdNet, and Eedi.","question identifiers, their associated concept(s), and the student's response correctness (0 or 1).",AUC,"Offer a model that ""Mitigates sparsity in student-concept interactions using contrastive learning.""","Heatmaps: ""As shown, when the student answers a
question correctly/incorrectly during practice, their mastery of the
question clearly strengthens/weakens. Moreover, as time goes by,
we find that the student gradually forget questions he/she have
previously mastered.""",No,Sequence Modeling
54,,2022,Introducing Problem Schema with Hierarchical Exercise Graph for Knowledge Tracing,Hanshuang Tong; Zhen Wang; Yun Zhou; Shiwei Tong; Wenyuan Han; Qi Liu,China,conference,"Exercise context + Sequences of questions and asnwers

we first introduce the concept of problem schema to summarize a group
of similar exercises with similar solutions, which has been widely
used in math word solving technique","BERT (hierarchical clustering [22] to cluster the BERT embeddings of exercises), Bayesian, a hierarchical graph neural networks, LSTM, attention head

BKT,DKT,DKVMN,GKT,EKT,HGKT-B,HGKT-S",Aixuexi dataset,"Exercise context + Sequences of questions and asnwers

we first introduce the concept of problem schema to summarize a group
of similar exercises with similar solutions, which has been widely
used in math word solving technique","AUC, ACCuracy (ACC)",No,"the
learner�s mistakes in __12 led to the poor mastery of the knowledge
__7, __23 and __29, which demonstrates that incorporating the direct
and indirect support graph do affect the results of the diagnosis",No process-level interpretability,Graph-Based
55,,2021,JKT: A joint graph convolutional network based Deep Knowledge Tracing,Xiangyu Song; Jianxin Li; Yifu Tang; Taige Zhao; Yunliang Chen; Ziyu Guan,Australia,journal,"The input features for the model include historical interactions of students with exercises, co-correctness rates, co-mastery rates, and dense embeddings capturing ""exercise-to-exercise"" and ""concept-to-concept"" relationships. These are represented in a joint attributed knowledge tracing graph.","Joint GCN based DKT Framework, including an inference model and a generative model","- ASSISTment 2009: Not specified
- ASSISTment 2015: 19,917 students
- ASSISTment Challenge: 686 students
- STATICS 2011: 333 students","The input features for the model include historical interactions of students with exercises, co-correctness rates, co-mastery rates, and dense embeddings capturing ""exercise-to-exercise"" and ""concept-to-concept"" relationships. These are represented in a joint attributed knowledge tracing graph.","AUC, ACC","The paper mentions an imbalance issue between the student set size and concept set size in the datasets ASSISTment 2015 and ASSISTment Challenge, leading to low distinction in student-concept representations. This is acknowledged as a limitation of the JKT model. They do not seem to offer solution

""In the datasets ASSISTment 2015 and ASSISTment Challenge, most of the methods did not perform as well as they did in the other two datasets. The main reason is that when the student set size and concept set size are imbalanced, JKT may produce excessive scale of student-concept representations with low distinction. """,No,No,Graph-Based
56,10.3390/app14177952,2024,Knowledge Graph and Personalized Answer Sequences for Programming Knowledge Tracing,Jianguo Pan; Zhengyang Dong; Lijun Yan; Xia Cai,China,journal,"a student�s multiple answers to a specific exercise

knowledge concepts, and exercises, all represented as discrete character-type data.","Variational Autoencoders (VAE), Long Short-Term Memory (LSTM) networks, attention mechanisms, RotatE model, RotatE-TA extension, gating mechanism",- **Luogu dataset:** 2081 students - **Codeforces dataset:** 1685 students,"a student�s multiple answers to a specific exercise

knowledge concepts, and exercises, all represented as discrete character-type data.","AUC, ACC",No,"They present heatmaps which are showing how the model

""exercises where the student initially answered incorrectly and then correctly after multiple
attempts, the gradient of the values reflects the student�s gradually improving mastery
of the exercise throughout the answer sequence""",No,Attentive
57,,2022,Knowledge interaction enhanced sequential modeling for interpretable learner knowledge diagnosis in intelligent tutoring systems,Wenbin Gan; Yuan Sun; Yi Sun; HG He,Japan,journal,"""Item embedding (kt), previous items in exercising sequence, item-KC correction vector (wt), knowledge proficiency matrix (MV), knowledge interaction matrix (MI), and cognitive item difficulty (based on learner's previous attempts)."" The paper states: ""The model takes the current item qt and the previously attempted items in the exercising sequence as the input.""","KIEDLKD (Knowledge Interaction-Enhanced Dynamic LKD), Key-Value Memory Network, Item Response Theory (IRT), Deep Knowledge Tracing (DKT), Dynamic Key-Value Memory Network (DKVMN), KTM, MIRT, PFA, LFA","""Algebra0506: 567 learners, 173,113 items, 606,976 interactions; Statics2011: 332 students, 1,223 items, 189,292 interactions; Assist0910: 3,114 learners, 17,708 items, 332,990 interactions; Bridge2Algebra0607: 1,130 learners, 129,263 problems, 1.8 million interactions; Assist1213: 22,591 learners, 52,855 items, 2.7 million interactions""","""Item embedding (kt), previous items in exercising sequence, item-KC correction vector (wt), knowledge proficiency matrix (MV), knowledge interaction matrix (MI), and cognitive item difficulty (based on learner's previous attempts)."" The paper states: ""The model takes the current item qt and the previously attempted items in the exercising sequence as the input.""","""area under the ROC curve (AUC), accuracy (ACC) and cross-entropy loss (Loss)""","""To avoid noise, following the existing studies, we also delete users whose interaction entries are less than 10 and with items with NaN skills in all the above mentioned datasets."" They also note data imbalance in the Assist1213 dataset: ""This dataset contains the maximum number of learners and the largest number of interaction entries (i.e., near 2.7 million); however, the average attempted items per user are very low (118.73). The whole correctness for all items is also very low, at 0.6959.""","Heatmaps: ""For example, when the learner answers the first item correctly, the state value of the fifth KC (marked red) underlying this item increases. When the learner obtains incorrect answers for the sixth and seventh items, the state value of the fifth KC gradually decreases. When he attempts the 19th, 31st, and 39th items with the same fifth KC correctly, this value increases again until it shows that the learner has mastered this KC. """,No,Hybrid/Meta
58,,2019,Knowledge Query Network for Knowledge Tracing,Jinseok Lee; Dit-Yan Yeung,Hong Kong,conference,"The input features for the KTMFF model include question text, knowledge point number, knowledge point difficulty, student ability, and duration time.","Knowledge Query Network (KQN), Long Short-Term Memory (LSTM), Gated Recurrent Units (GRU), Multilayer Perceptron (MLP), Adam optimization method, probabilistic skill similarity","- ASSISTments2009: 4151 students
- ASSISTments2015: 19,840 students
- Statics2011: 333 students
- BnuUnit: 1496 students
- BnuTerm: 15,963 students
- BnuAi: 2987 students
- Synthetic: 4000 virtual students","The input features for the KTMFF model include question text, knowledge point number, knowledge point difficulty, student ability, and duration time.",AUC,No,"However, it can also be observed that some changes are counter-intuitive. For example, at t = 3, as the student solved a problem with skill 92 incorrectly, the corresponding estimate in- creased from 23% to 24% even though the change was only 1%. This problem has also been addressed for DKT in a previous work and is still an open problem to be improved",No,Graph-Based
59,,2022,Knowledge structure enhanced graph representation learning model for attentive knowledge tracing,Wenbin Gan; Yuan Sun; Yi Sun; JM Jiang; Y Liu,Japan,journal,"exercises, skills, and answers","KSGKT model, Metapath2Vec, convolutional representation method, attention mechanism (shared skill-based attention, question similarity-based attention, combined attention), LSTM, Adam optimization","Total: 36,337
- ASSIST09: 3,852
- ASSIST12: 27,485
- EdNet: 5,000","exercises, skills, and answers",AUC,"Our method offers two advantages over the existing models: first, it inputs extra information into the question representation by referencing the KS (thus alleviating the data sparsity problem in the question representation), and second, it models the impact of previous experiences on future exercise during the knowledge evolution.

To alleviate the sparseness problem, most of the exiting KT studies are performed at the skill_level rather than the question_level, as questions are often numerous and associated with much fewer skills.","The heat map on the right shows the evolution of the learner�s skill mastery before and after attempting a series of questions. Each cell in the map indicates the learner�s mastery of a specific skill at some time point. Over time, the mastery level increases from low (orange) to high (green) as the learner gradually masters the skills.",No,Graph-Based
60,,2023,Knowledge tracing based on multi-feature fusion,Yongkang Xiao; Rong Xiao; Ning Huang; Yixin Hu; Huan Li; Bo Sun; AK Roy,China,journal,"the question text, the knowledge point difficulty, the student ability, and the
duration time + Sequences of questions and asnwers","Memory-Augmented Neural Network 

DKVMN","Synthetic-5, ASSISTments2009,ASSISTments2015,Statics2011,BnuUnit,BnuTerm,BnuAi","the question text, the knowledge point difficulty, the student ability, and the
duration time + Sequences of questions and asnwers",AUC,No,"Comparing Fig. 3a, b, we can see that in the DKVMN model, the initial states of the third to fifth knowledge points are basically the same, but in the KTMFF model, the value of the fifth knowledge point�s initial state is obviously smaller, and the fifth knowledge point is not mastered in the end. This shows that the KTMFF model can learn the attributes of each knowledge point (such as the knowledge point difficulty) in advance, thereby solving the cold start problem to a certain extent. For the answers to the first ten questions, in the DKVMN model, the evolution of the knowledge state of the second knowledge point is obviously not in line with the actual situation, and the KTMFF model shows a smoother transition. Therefore, the KTMFF model can better simulate the evolution of the knowledge state in the learning process.","The paper addresses interpretability by critiquing existing DLKT methods for their opacity and lack of focus on the learning process. It introduces GRKT, which uses a graph-based approach and pedagogical theories to model the learning process in a more interpretable way, focusing on process-level interpretability. This is achieved through a three-stage modeling process that provides insights into how knowledge mastery evolves.",Sequence Modeling
61,,2023,Learning Behavior-oriented Knowledge Tracing,Bihan Xu; Zhenya Huang; Jiayu Liu; Shuanghong Shen; Qi Liu; Enhong Chen; Jinze Wu; Shijin Wang,China,conference,"Sequences of questions and asnwers as a basic interaction + learning
behaviors including Speed, Attempts and Hints","Memory-Augmented Neural Network 

DKT_concat,DKT,AT-DKT,DKVMN,DMKT,SAKT,AKT,LPKT","- ASSIST2009
ASSIST2012
Junyi","Sequences of questions and asnwers as a basic interaction + learning
behaviors including Speed, Attempts and Hints","AUC, RMSE, ACC",No,"Figure 5 shows the changing process of a learner�s knowledge proficiency on three concepts traced by LBKT after he finished answering 9 questions sequentially. We find that although the learner has answered question __3 related to concept �Division Fractions� correctly, his proficiency on it decreases from 0.74 to 0.65. To investigate the reason, we move our sight to his learning behaviors presented in the right part of Figure 5. We note that he spends 14 seconds with one attempt to obtain the correct answer and the Speed factor ____ estimated by DBEQ is extremely high (0.89). This implies the learner answers too fast and is possibly viewed as guessing, so LBKT narrows his knowledge acquisition and together with the forget gate decreases his proficiency. Similarly, when the learner answers question __9 with high factors as 0.97, 0.73 and 0.99 under three behaviors, the cooperative effect of these three behaviors drives the decline of proficiency in the answering concept �Addition and Subtraction Fractions�. LBKT tracks learners� proficiency not only based on their responses but also considers different behaviors� effect, thus making more accurate and reasonable estimation.",No process-level interpretability,Attentive
62,10.1016/j.eswa.2023.123128,2024,Learning consistent representations with temporal and causal enhancement for knowledge tracing,Changqin Huang; Hangjie Wei; Qionghao Huang; Fan Jiang; Zhongmei Han; Xiaodi Huang,China,Journal,"questions, knowledge concepts, answers, and difficulty of questions","Temporal-and Causal-enhanced Knowledge Tracing (TCKT), Causal Self-Attention (CSAT) module, Learning Behavior Simulation module, Normalized Weighted Geometric Mean (NWGM), K-Means clustering algorithm","ASSIST2012, ASSISTChall, and EdNet-KT1

No participants number mentioned","questions, knowledge concepts, answers, and difficulty of questions","AUC, ACC, RMSE","The paper states: ""In this view, the bias of students� learning data can be attributed to the presence of a confounder - a common cause of the independent variable __ and the dependent variable __, which establishes a spurious correlation between __ and __ (Glymour, Pearl, & Jewell, 2016)."" To address this issue, the authors propose a new method: ""To address the aforementioned issues in existing KT models, we propose a novel Temporal- and Causal-enhanced Knowledge Tracing method (TCKT) that can learn more consistent representations of students� knowledge states. To achieve this, we incorporate the front-door adjustment method from the causal inference theory into the self-attention mechanism of our model. This adjustment method helps to eliminate the influence of data bias and identify more reasonable...""","They provide Fig. (7) of fluctations, showing that their model make it less fluctatious: ""our proposed TCKT does not cause the knowledge state to fluctuate dramatically due to incorrect answers, indicating that it has more advantages in maintaining cognitive consistency""

They also claim their model able to trace implicit associations between concepts:
""after students answer the questions corresponding to a specific concept, not only will this concept�s knowledge state be improved, but the other concepts� knowledge state with the implicit association will also be improved to varying degrees.""",No,Hybrid/Meta
63,,2021,Learning from Non-Assessed Resources: Deep Multi-Type Knowledge Tracing,C. Wang; S. Zhao; S. Sahebi,USA,conference,"assessed (Sequences of questions and asnwers) and non-assessed learning resources, such
as solving quizzes, watching video lectures, viewing annotated examples or hints, and participating discussion forums","memory-augmented neural networks

DKT,DKVMN,DeepIRT,SAKT,SAINT,AKT","- MORF
- EdNet
- Junyi1564
- Junyi2063","assessed (Sequences of questions and asnwers) and non-assessed learning resources, such
as solving quizzes, watching video lectures, viewing annotated examples or hints, and participating discussion forums","Root Mean Square Error (RMSE) and Area Under 
Curve (AUC)",No,"In the figure, this student starts with a randomly initialized value memory matrix Mt 0 at time step 0 before working on A1B. After finishing the A1B, student�s knowledge is updated and increased a little on concept 3 and 6 before working on A3. Student�s knowledge grows gradually by working on assignments A3 and watching video lectures in week 4. However, student�s knowledge drops a little before working on assignment A4 and it explains the reason why that student only receives a score 0.3 at the first attempt. Student�s knowledge on all concepts grow by working on the assignments until the student started watching video lecture W6V 1. We can see a slight drop in student�s knowledge of some of the concepts (e.g., 7) and increase in other concepts (e.g., 1) while they are watching these videos. One potential reason for the decrease on concept 7 could be the lack of practice with assignments. Watching video lectures indeed improve student knowledge on concept 1 and 2. Another reason for the drop in concept 7 could be related to the student�s problem solving ability which results in their first attempt on Assignment A7 to have a score of 0.3. Once the student�s first attempt on A7 is done, this student quickly masters concept 7 again and their knowledge on all concepts continues to grow along different activities. In this example, it seems the assessed learning material improves student knowledge more than watching video lectures, which is inline with the previous literature [10, 13]. Another observation is that this student skips watching video lectures in weeks 1, 2, and 3 before working on assignment A3. Similarly, they did not watch videos in week 5 and 6 before trying A5 and A6. This may explain that this student is not interested in watching video lectures and may not be fully present during watching video lectures which results in tiny knowledge growth over watching them.",No,Forgetting-Aware
64,,2021,Learning Process-consistent Knowledge Tracing,Shuanghong Shen; Qi Liu; Enhong Chen; Zhenya Huang; Wei Huang; Yu Yin; Yu Su; Shijin Wang,China,conference,"The input features for the LPKT model include exercises, answer time, answers, interval time, knowledge concepts, and knowledge state. These are represented through embeddings: time embedding for answer time and interval time, learning embedding for the basic learning cell (exercise-answer time-answer), and knowledge embedding for the knowledge state.",Learning Process-consistent Knowledge Tracing (LPKT); Bayesian Knowledge Tracing (BKT); Performance Factor Analysis (PFA); Deep Knowledge Tracing (DKT); Exerciseaware Knowledge Tracing; Dynamic Key-Value Memory Networks (DKVMN); Convolutional Knowledge Tracing (CKT); Self-attentive model for knowledge tracing (SAKT); Context-aware attentive knowledge tracing (AKT),"Total: 815,036
- ASSIST2012: 29,018
- ASSISTchall: 1,709
- EdNet-KT1: 784,309","The input features for the LPKT model include exercises, answer time, answers, interval time, knowledge concepts, and knowledge state. These are represented through embeddings: time embedding for answer time and interval time, learning embedding for the basic learning cell (exercise-answer time-answer), and knowledge embedding for the knowledge state.","AUC, ACC","The paper mentions potential bias in the manually-labeled Q-matrix due to inevitable errors and subjective bias. The authors address this by defining an enhanced Q-matrix to mitigate possible omissions or mistakes. They also acknowledge inaccuracies in clustering results and plan to use pre-trained representations to improve data accuracy.

""Traditionally, if the knowledge concept k m is not contained in the exercise e j , Q jm will be set as 0, which shows students' performance on exercise e j has no influence on their knowledge mastery h m on knowledge concept k m . However, manually-labeled Q-matrix may be deficient because of inevitable errors and subjective bias [15,36]. In order to make up for possible omissions or mistakes, we define an enhanced Q-matrix q _ R J _M , where q jm will be set as a small positive value _ rather than 0 even if k m is not in e j . Although this unified setting is simple as well, as the focus of our paper is on the learning process modeling part, we leave the exploration to learn the specific weights in the Q-matrix as future works.""","For example, even the student answer exercise e5 and e12wrongly, LPKT thinks his/her knowledge state on related knowl-edge concepts (i.e., Addition and Subtraction Intergers and OrderingIntergers) can also get promotion. We note that after answering ex-ercise e7 wrongly, his/her knowledge state is reductive, the reasonis that his/her performance on Addition and Subtraction Intergersis not stable in this stage and LPKT is trying to modify his/herknowledge state. Secondly, if the student does not practice on someknowledge concepts, his/her knowledge state on these conceptswill reduce gradually as time goes on.",No,Hybrid/Meta
65,,2024,Leveraging Pedagogical Theories to Understand Student Learning Process with Graph-based Reasonable Knowledge Tracing,J. Cui; H. Qian; B. Jiang; W. Zhang; IEEE,China,conference,"The input features for the model include learning behaviors such as Speed, Attempts, and Hints, as well as question-answer pairs with their embeddings. These features are used to assess learners' knowledge states and predict their performance.","GRKT (Graph-based Reasonable Knowledge Tracing) using Graph Neural Networks (GNNs) with a three-stage modeling process: knowledge retrieval, memory strengthening, and knowledge learning/forgetting.","- ASSIST2009: 3,006 learners
- ASSIST2012: 22,397 learners
- Junyi: 1,000 learners","The input features for the model include learning behaviors such as Speed, Attempts, and Hints, as well as question-answer pairs with their embeddings. These features are used to assess learners' knowledge states and predict their performance.",AUC,"The paper addresses data sparsity by constructing KC relation graphs based on data statistics and setting thresholds to ensure significant relationships are considered. ""In the absence of KC relation annotations in the datasets, we construct the KC relation graph based on data statistics.""",GRKT yields reasonable knowledge tracing results such as the fine-grained knowledge changing from testing effects and the faded knowledge with forgetting curves. LPKT and DKT still have reasonable issues such as the mastery change of unrelated KCs and no mastery change of related KCs.,No,Graph-Based
66,,2024,Meta-path structured graph pre-training for improving knowledge tracing in intelligent tutoring,Menglin Zhu; Liqing Qiu; Jingcheng Zhou; Z Cui; T Zhang; XY Zhou,China,journal,"The input features for the model include raw node embeddings, difficulty embeddings, local distinction encodings, and global distinction encodings. These are aggregated to form the input representation for each node in the heterogeneous information network (HIN) consisting of students, exercises, and concepts.",MPSG (Meta-Path Structured Graph) method and its training framework,"Total: 15,352
- ASSIST09: 3,644
- ASSIST17: 1,708
- EdNet: 5,000
- Junyi: 5,000","The input features for the model include raw node embeddings, difficulty embeddings, local distinction encodings, and global distinction encodings. These are aggregated to form the input representation for each node in the heterogeneous information network (HIN) consisting of students, exercises, and concepts.","AUC, ACC","ten variants of MPSG are designed to investigate the effectiveness of each key component. The ablation studies mainly focus on four aspects: (1) the sampling process, (2) the graph networks for representation learning, (3) the feature aggregation strategies, and (4) the constraints.","he statechanges captured by the DKT model appear to be abrupt. The student�smastery of concepts is unstable and lacks regularity. In contrast, thelower chart, which reflects changes as captured by MPSG+DKT, showsthat when the student correctly answered an exercise, his/her masteryof the associated concept increased. Conversely, if the student doesnot interact with an exercise for an extended period, there will notbe a significant change in the mastery of the corresponding concept,reflecting the general patterns observed in the actual learning process.",No,Graph-Based
67,,2024,MLC-DKT: A multi-layer context-aware deep knowledge tracing model,Suojuan Zhang; Jie Pu; Jing Cui; Shuanghong Shen; Weiwei Chen; Kun Hu; Enhong Chen,China,journal,"Knowledge concept embeddings, Exercise contextual information, Answer sequences, Knowledge topology information, Knowledge weights, guessing and slipping","attention mechanism for knowledge state tracing, a contextual similarity effect modeling method, and incorporates guessing and slipping factors from cognitive diagnosis models. The study uses a cross-entropy loss function and the Adam optimizer for optimization. Benchmark models include DKT, DKT+, DKVMN, AKT, DCD, SimpleKT, and FoLiBiKT.","aaai2023: ""18,066 learners, 7,652 exercises, 5,549,635 records, 1175 KCs (865 leaves)"" NIPS2020_t12: ""118,971 learners, 27,613 exercises, 15,867,850 records, 388 KCs (309 leaves)"" Junyi: ""721 learners, 191,874 exercises, 25,853,987 records, 48 KCs (39 leaves)""","Knowledge concept embeddings, Exercise contextual information, Answer sequences, Knowledge topology information, Knowledge weights, guessing and slipping","""To ensure a robust evaluation, we employed two evaluation metrics in all experiments: (1) accuracy (ACC) and (2) area under the curve (AUC). We set a threshold of 0.5 when calculating the accuracy.""",No,"Heatmap: "" For this knowledge concept, the student�s answers alternated between correct and incorrect, leading to fluctuations in the values corresponding to the knowledge state of each knowledge point""",No,Memory-Augmented
68,,2024,Model-agnostic counterfactual reasoning for identifying and mitigating answer bias in knowledge tracing,Chaoran Cui; Hebo Ma; Xiaolin Dong; Chen Zhang; Chunyun Zhang; Yumo Yao; Meng Chen; Yuling Ma,China,journal,Sequences of questions and asnwers,"SparseKT,SimpleKT,SAINT,SAKT,AKT,DKVMN, DKT, BKT",ASSIST09 ASSIST17 EdNet,Sequences of questions and asnwers,"accuracy, AUC","The paper addresses ""answer bias,"" which is an unbalanced distribution of correct and incorrect answers for each question. 

The answer bias can be naturally explained in terms of the differences in difficulty between questions (Shen et al., 2022). Nevertheless, it also provides a shortcut for achieving good prediction performance in KT. After a preliminary analysis, we found that a dumb model that blindly selects the more frequently occurring answer for each question can also achieve reasonable accuracy in testing, even without taking into account any of the students� past learning interactions!","For the student __1, the answer bias suggests that students tend to make mistakes more often for the question __8. DKT agrees with this logic and predicts that __1 is more likely to answer incorrectly. However, in recent learning interactions, __1 has consistently provided correct answers to the questions that are associated with the same concept as __8. Therefore, it is more reasonable to expect that __1 will answer __8 correctly, which indeed is the case. In contrast, DKT-CORE gives the accurate prediction, showcasing its resistance to answer bias. Similarly, since DKT-CORE can concentrate more on the understanding of students� knowledge states, it avoids the misprediction of DKT for the student __2, which is also caused by the impact of answer bias.",No process-level interpretability,Memory-Augmented
69,,2022,Modeling knowledge proficiency using multi-hierarchical capsule graph neural network,Zeyu He; Wang Li; Yonghong Yan,China,journal,"question�response tuples, textual representations of questions and concept tags obtained via BERT, and location information encoded using one-hot vectors","Caps-HAGKT (multi-hierarchical capsule graph neural network), CapsNN (capsule neural network), Capsule routing","Synthetic-5 (4,000 virtual students, 200K interactions), ASSIST2009 (4,417 students, 325K interactions), ASSIST2015 (19,840 students, 683K interactions), ASSIST2017 (686 students, 942K interactions), Statics2011 (333 students, 189K interactions), and one private business dataset","question�response tuples, textual representations of questions and concept tags obtained via BERT, and location information encoded using one-hot vectors",ROC (AUC),"""Sparse curriculum problem: It exacerbates the uneven distribution of interactions."" The authors note: ""in the case of the problem of sparse curriculum, Caps-HAGKT provides the relational inductive biases by using graph-structure data, which helps to enhance the ability of inductive speculation on future performance."" They provide density metrics for each dataset and show how their approach helps with ""alleviating the problem of sparse courses.""","Heatmap: ""The evolution process of knowledge shown by the new model is smooth and free of oscillation. For example, in the continuous wrong answers (31 to 34) and the continuous right answers (3 to 7), the change in the knowledge level of the student is continuous and reasonable""",No,Graph-Based
70,,2024,Modeling Student Performance Using Feature Crosses Information for Knowledge Tracing,Lixiang Xu; Zhanlong Wang; Suojuan Zhang; Xin Yuan; Minjuan Wang; Enhong Chen,China,journal,Sequences of questions and asnwers,"grapg NN and Gated Recurrent Units (GRUs)

BKT,KTM,DKVMN,DKT,DKT+,GIKT,GAKT,CoKT","
- ASSIST 09
- ASSIST 12
- EdNet",Sequences of questions and asnwers,AUC,No,"The paper addresses sequential stability indirectly by improving prediction consistency over time-steps through regularization in models like DKT+. However, it does not explicitly evaluate sequential stability or prediction fluctuation. Instead, it uses AUC as a performance metric and compares different models to assess overall performance.","Specifically, when he or she answers a question correctly (incorrectly), his or her knowledge state of the corresponding latent concept increases (decreases). For example, he or she acquires knowledge of the concept �multiplication and division of fractions� after successfully completing the question in the third exercise step. Subsequent questions reveal a gradual grasp of this concept, contrasting with a lack of understanding of �factors and highest common factor.� Because he or she completed all the questions on �multiplication and division of fractions�, but skipped some related to �factors and highest common factor.� However, an inconsistency arises: in the third exercise step, despite answering the questions correctly, his or her mastery of �factors and highest common factor� decreased slightly. This discrepancy is due to the model�s inability to trace the student accurately, especially when there are limited exercise records at the beginning. Improved performance could be achieved if the student accumulates more exercise records over subsequent steps.",Sequence Modeling
71,,2024,MonaCoBERT: Monotonic Attention Based ConvBERT for Knowledge Tracing,Unggi Lee; Yonghyun Park; Yujin Kim; Seongyune Choi; Hyeoncheol Kim,Republic of Korea,conference,Sequences of questions and asnwers,"BERT Based Architecture for Knowledge Tracing. To create our 
model baseline, we mainly referenced BERT [7], BiDKT [38], BEKT [39], and 
BERT4Rec [37].","- assist09
- assist12
- assist17
- algebra05
- algebra06
- EdNet",Sequences of questions and asnwers,"AUC, RMSE","Most deep learning-based KT models have suffered from attributions of KT datasets such as the data sparsity, changeability of the knowledge state, and educational domain. Firstly, KT datasets are often sparser; each sequence represents one student�s learning history, and the high attrition rates in online education render many of these sequences relatively brief and incomplete. KT is inherently 
educational, requiring insights from pedagogy, such as educational psychology 
and learning sciences. [9] For instance, as students may forget earlier topics 
more quickly than recent ones, considering factors like question difficulty-often 
calculated using item-based theory (IRT), becomes crucial in predicting student 
performance",simple attention heatmap without enough explaination,"The paper addresses interpretability by using Grad-CAM, and t-SNE to analyze and visualize the model's attention mechanisms and embedding strategies.",Hybrid/Meta
72,,2023,Monitoring Student Progress for Learning Process-Consistent Knowledge Tracing,Shuanghong Shen; Enhong Chen; Qi Liu; Zhenya Huang; Wei Huang; Yu Yin; Yu Su; Shijin Wang,China,journal,"""Input features for the models include: exercise embeddings, answer time (how long students spent answering), answer correctness (binary: correct/incorrect), interval time between learning interactions, knowledge concepts (via Q-matrix), and student embeddings (for LPKT-S model only)""","Learning Process-consistent Knowledge Tracing (LPKT) which models student progress through learning gain modules, forgetting modules, and predicting modules, and LPKT-S which extends LPKT by considering student-specific progress rates.","""ASSIST2012 with 29,018 students, ASSISTchall with 1,709 students, and EdNet-KT1 (10% subset) with 78,431 students""","""Input features for the models include: exercise embeddings, answer time (how long students spent answering), answer correctness (binary: correct/incorrect), interval time between learning interactions, knowledge concepts (via Q-matrix), and student embeddings (for LPKT-S model only)""","""Root Mean Square Error (RMSE), the square of Pearson correlation (r_), Area Under ROC Curve (AUC), and Accuracy (ACC)""","The paper addresses subjective bias in the manually-labeled Q-matrix and proposes an enhanced Q-matrix to mitigate these biases.

""However, manually-labeled Q-matrix may be deficient because of inevitable errors and subjective bias. In order to make up for possible omissions or mistakes, we define an enhanced Q-matrix""","Heatmap: ""our pro- posed model can capture students� learning progress from both wrong and right learning interactions. For example, even the student answered exercise e2, e3, e4, and e8 wrongly, LPKT thinks his/her knowledge state on related knowledge concepts (i.e., 70: Square Root and 89: Ordering Fractions) can also get promotion. After wrongly answering exercise e12, we note that LPKT-S thinks that his/her knowl- edge state will decrease.""",No,Graph-Based
